# ProfilerVersion=2.5.1804
# Application=/home/moe/Dokumente/Bachelorarbeit/Stencil/bin/x86_64/Release/Stencil
# ApplicationArgs=-we 4034 -he 4034 -i 4 -kv 2 -q -e
# Device AMD Phenom(tm) II X6 1090T Processor PlatformVendor=Advanced Micro Devices, Inc.
# Device AMD Phenom(tm) II X6 1090T Processor PlatformName=AMD Accelerated Parallel Processing
# Device AMD Phenom(tm) II X6 1090T Processor PlatformVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device AMD Phenom(tm) II X6 1090T Processor CLDriverVersion=1445.5 (sse2)
# Device AMD Phenom(tm) II X6 1090T Processor CLRuntimeVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device AMD Phenom(tm) II X6 1090T Processor NumberAppAddressBits=64
# Device Barts PlatformVendor=Advanced Micro Devices, Inc.
# Device Barts PlatformName=AMD Accelerated Parallel Processing
# Device Barts PlatformVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device Barts CLDriverVersion=1445.5
# Device Barts CLRuntimeVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device Barts NumberAppAddressBits=32
# OS=Ubuntu 15.04 \n \l
Method , ExecutionOrder , ThreadID , CallIndex , GlobalWorkSize , WorkGroupSize , Time , LocalMemSize , VGPRs , SGPRs , ScratchRegs , FCStacks , Wavefronts , ALUInsts , FetchInsts , WriteInsts , LDSFetchInsts , LDSWriteInsts , ALUBusy , ALUFetchRatio , ALUPacking , FetchSize , CacheHit , FetchUnitBusy , FetchUnitStalled , WriteUnitStalled , FastPath , CompletePath , PathUtilization , LDSBankConflict
Stencil2__k1_Barts1 ,     1 , 4470 , 26 , {   4032    4032       1} , NULL ,        21.04422 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.43 ,         3.75 ,        41.33 ,     63663.75 ,        68.58 ,        20.85 ,        15.92 ,        43.41 ,     31779.69 ,         0.00 ,       100.00 ,         0.00
Stencil2__k2_Barts1 ,     2 , 4470 , 28 , {   4032    4032       1} , NULL ,        22.02111 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.34 ,         3.75 ,        41.33 ,     63663.12 ,        68.58 ,        18.84 ,        13.75 ,        41.64 ,     31772.56 ,         0.00 ,       100.00 ,         0.00
Stencil2__k1_Barts1 ,     3 , 4470 , 30 , {   4032    4032       1} , NULL ,        21.09422 ,           0 ,     5 , NA ,     0 ,     0 ,    264996.00 ,        14.77 ,         3.93 ,         1.00 ,         0.00 ,         0.00 ,         3.40 ,         3.75 ,        41.37 ,     66353.38 ,        68.18 ,        20.91 ,        16.21 ,        41.44 ,     31775.12 ,         0.00 ,       100.00 ,         0.00
Stencil2__k2_Barts1 ,     4 , 4470 , 32 , {   4032    4032       1} , NULL ,        21.04489 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.41 ,         3.75 ,        41.33 ,     63666.12 ,        68.58 ,        20.21 ,        15.27 ,        39.80 ,     31769.19 ,         0.00 ,       100.00 ,         0.00
Stencil2__k1_Barts1 ,     5 , 4470 , 34 , {   4032    4032       1} , NULL ,        21.31755 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.42 ,         3.75 ,        41.33 ,     63665.56 ,        68.58 ,        21.58 ,        16.81 ,        44.17 ,     31774.06 ,         0.00 ,       100.00 ,         0.00
Stencil2__k2_Barts1 ,     6 , 4470 , 36 , {   4032    4032       1} , NULL ,        20.93989 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.42 ,         3.75 ,        41.33 ,     63664.69 ,        68.58 ,        21.30 ,        16.47 ,        44.12 ,     31770.81 ,         0.00 ,       100.00 ,         0.00
Stencil2__k1_Barts1 ,     7 , 4470 , 38 , {   4032    4032       1} , NULL ,        21.19333 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.42 ,         3.75 ,        41.33 ,     63664.56 ,        68.58 ,        19.76 ,        14.65 ,        43.31 ,     31777.69 ,         0.00 ,       100.00 ,         0.00
Stencil2__k2_Barts1 ,     8 , 4470 , 40 , {   4032    4032       1} , NULL ,        21.15755 ,           0 ,     5 , NA ,     0 ,     0 ,    258048.00 ,        15.00 ,         4.00 ,         1.00 ,         0.00 ,         0.00 ,         3.41 ,         3.75 ,        41.33 ,     63630.31 ,        68.59 ,        19.60 ,        14.58 ,        41.55 ,     31772.31 ,         0.00 ,       100.00 ,         0.00
