# ProfilerVersion=2.5.1804
# Application=/home/moe/Dokumente/Bachelorarbeit/Stencil/bin/x86_64/Release/Stencil
# ApplicationArgs=-we 4034 -he 4034 -i 4 -kv 5 -q -e
# Device AMD Phenom(tm) II X6 1090T Processor PlatformVendor=Advanced Micro Devices, Inc.
# Device AMD Phenom(tm) II X6 1090T Processor PlatformName=AMD Accelerated Parallel Processing
# Device AMD Phenom(tm) II X6 1090T Processor PlatformVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device AMD Phenom(tm) II X6 1090T Processor CLDriverVersion=1445.5 (sse2)
# Device AMD Phenom(tm) II X6 1090T Processor CLRuntimeVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device AMD Phenom(tm) II X6 1090T Processor NumberAppAddressBits=64
# Device Barts PlatformVendor=Advanced Micro Devices, Inc.
# Device Barts PlatformName=AMD Accelerated Parallel Processing
# Device Barts PlatformVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device Barts CLDriverVersion=1445.5
# Device Barts CLRuntimeVersion=OpenCL 1.2 AMD-APP (1445.5)
# Device Barts NumberAppAddressBits=32
# OS=Ubuntu 15.04 \n \l
Method , ExecutionOrder , ThreadID , CallIndex , GlobalWorkSize , WorkGroupSize , Time , LocalMemSize , VGPRs , SGPRs , ScratchRegs , FCStacks , Wavefronts , ALUInsts , FetchInsts , WriteInsts , LDSFetchInsts , LDSWriteInsts , ALUBusy , ALUFetchRatio , ALUPacking , FetchSize , CacheHit , FetchUnitBusy , FetchUnitStalled , WriteUnitStalled , FastPath , CompletePath , PathUtilization , LDSBankConflict
Stencil4_1__k1_Barts1 ,     1 , 4598 , 36 , {   4032       1       1} , {   64     1     1} ,         0.02722 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.46 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.35 ,         0.00 ,         0.00 ,        16.00 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k2_Barts1 ,     2 , 4598 , 38 , {   4032       1       1} , {   64     1     1} ,         0.02278 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.25 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.26 ,         0.00 ,         0.00 ,        15.50 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k1_Barts1 ,     3 , 4598 , 40 , {   4032       1       1} , {   64     1     1} ,         0.02467 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         4.70 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.03 ,         0.00 ,         0.00 ,        16.00 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k2_Barts1 ,     4 , 4598 , 42 , {   4032       1       1} , {   64     1     1} ,         0.02367 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         4.81 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.07 ,         0.00 ,         0.00 ,        15.50 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k1_Barts1 ,     5 , 4598 , 44 , {   4032       1       1} , {   64     1     1} ,         0.02400 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.33 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.30 ,         0.00 ,         0.00 ,        16.00 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k2_Barts1 ,     6 , 4598 , 46 , {   4032       1       1} , {   64     1     1} ,         0.02733 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.42 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.34 ,         0.00 ,         0.00 ,        15.50 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k1_Barts1 ,     7 , 4598 , 48 , {   4032       1       1} , {   64     1     1} ,         0.02522 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.41 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.33 ,         0.00 ,         0.00 ,        16.00 ,         0.00 ,       100.00 ,         0.00
Stencil4_1__k2_Barts1 ,     8 , 4598 , 50 , {   4032       1       1} , {   64     1     1} ,         0.02422 ,        1544 ,     6 , NA ,     0 ,     2 ,        63.00 ,       116.00 ,        10.00 ,         2.00 ,         6.00 ,        10.00 ,         5.41 ,        11.60 ,        36.90 ,        78.81 ,        19.94 ,         2.33 ,         0.00 ,         0.00 ,        15.50 ,         0.00 ,       100.00 ,         0.00
